panoid	pixel_error	gt_flow_u_min	gt_flow_v_min	gt_flow_u_mean	gt_flow_v_mean	gt_flow_mag_min	gt_flow_mag_max	gt_flow_mag_mean
50736	2.508598	1.3783574e-06	4.8428774e-08	1.3680351	5.429491	0.002283454	16.2315	5.925051
46672	3.4918234	6.519258e-07	1.8626451e-06	3.6360707	3.882687	0.14616118	22.391806	5.7653747
35294	4.4173093	1.5711412e-06	9.0524554e-07	6.660759	6.627431	0.013634486	27.59917	10.725076
41546	9.242175	4.6808273e-06	1.9364059e-05	5.712651	9.921308	0.0021219652	132.5011	12.181132
51784	1.8766824	4.7972426e-06	1.0084361e-05	5.0979156	6.069513	0.0053976052	32.89026	8.604634
18212	4.1137023	2.3370609e-05	1.0762364e-05	13.502603	15.145947	0.00595578	58.31172	21.814241
43362	3.9016764	2.6671216e-05	2.0936131e-06	8.5403185	6.686917	0.0109699145	22.833153	11.561155
21790	1.6719042	1.8300489e-06	1.0989606e-06	2.7168288	2.8323855	0.0062072994	27.30974	4.446118
42970	1.7755351	7.772818e-06	1.5448779e-05	3.7039664	3.5508502	0.0046102963	19.79429	5.5434704
18710	2.9746907	1.2489036e-05	8.408725e-05	24.208035	22.87322	0.039445452	82.0692	35.850063
17485	2.4039292	1.931563e-06	1.1291355e-05	17.756643	17.906296	0.010192901	60.8211	27.769405
65483	3.5482333	6.828457e-06	1.1920929e-07	5.688795	4.033532	0.08432672	36.605812	7.5125303
32938	3.0673594	2.3698434e-05	1.6577542e-05	18.724468	17.122944	0.029508574	71.19077	27.240576
35626	2.4703288	6.8992376e-06	8.419156e-06	6.7785435	4.6379333	0.008405545	18.37032	9.065644
27611	1.1546953	4.145317e-06	2.0712614e-06	9.419505	9.119509	0.00348245	31.41381	14.201654
27768	6.5946054	9.5637515e-06	1.9151717e-05	14.93128	10.141909	0.026719328	60.65379	19.469099
25072	2.8392336	5.80959e-06	4.865229e-06	6.440909	8.398777	0.008170792	36.913593	11.689684
38076	3.7015173	7.4189156e-06	8.113682e-06	3.2497275	2.910263	0.0041166353	14.20402	4.9642863
8519	1.9137903	2.1820888e-05	1.904741e-05	25.903217	24.358107	0.040808238	74.39518	39.00487
35190	1.9310108	5.736947e-07	2.9541552e-06	6.0733356	3.9577343	0.00061285286	29.742395	7.7627716
15170	1.0500183	3.515184e-05	3.758818e-06	13.009369	14.13328	0.024207514	52.50668	20.886845
90453	4.410946	1.2405217e-06	1.4405698e-05	11.871281	11.287334	0.007130223	56.596115	17.661697
1104	2.3278346	1.5888363e-06	3.1292439e-06	11.305545	9.729811	0.019520098	99.635086	16.179821
81616	2.3795612	1.423154e-05	2.2556633e-05	12.048331	12.782853	0.0069552036	56.062054	19.090334
28533	15.111816	1.3081357e-05	2.7373433e-05	21.575518	20.57343	0.004742022	83.86555	32.55738
11378	8.715587	3.1683594e-06	3.97861e-06	2.878371	3.541016	0.0053261844	20.722406	4.951098
3296	1.8790214	1.7862767e-05	1.6652048e-06	4.1071715	4.4228067	0.0084781675	18.87653	6.7711625
28538	10.041637	3.0579045e-05	4.6677887e-06	15.328138	20.276533	0.03066229	126.13747	28.03632
35738	12.061663	5.382765e-05	6.0088933e-06	21.338797	21.203632	0.0040407507	70.46222	32.997444
51292	2.85087	1.3558194e-05	1.5586615e-05	9.548429	8.339627	0.0035493723	37.54104	14.32063
27234	1.121567	3.147777e-05	5.9604645e-08	11.1638	11.518138	0.013482116	34.725437	17.341002
20746	46.056908	7.119961e-06	3.8310885e-05	32.896538	29.041332	0.06703508	122.14532	47.919834
35646	3.0867	5.2098185e-06	2.1085143e-06	10.289078	9.536887	0.011955723	33.210552	15.318627
81579	4.72035	1.0639429e-05	8.245185e-05	16.918215	14.987253	0.013151505	59.749714	25.630802
74719	3.177076	2.0451844e-06	5.029142e-07	3.1745772	2.2725995	0.0047950023	15.929087	4.3062506
38188	1.62408	3.2791868e-06	1.6391277e-06	4.1210647	4.3144946	0.004251955	23.034498	6.563391
14468	14.145348	2.5847927e-05	2.2783875e-05	29.739418	40.213593	0.011079523	173.67062	54.843624
38008	3.44995	8.832663e-05	1.1511147e-05	10.32437	3.7062743	0.003771285	22.828085	11.312488
2810	2.1335928	1.5380792e-05	1.8179417e-06	4.919804	6.2581205	0.006904324	23.884693	8.595752
55853	6.7687807	4.226342e-06	1.3615936e-05	9.2403965	6.6249714	0.0041938806	38.212357	11.962598
9542	1.4501172	2.5006011e-05	2.996996e-05	15.330236	15.929858	0.023159899	44.68674	23.833479
32808	2.3496852	2.07033e-06	4.4815242e-06	4.2675953	3.4093173	0.0016060817	33.313507	6.0348125
27317	15.603103	1.46422535e-05	1.918897e-05	24.840786	23.75642	0.016256126	169.004	36.677937
11816	1.3307371	7.933937e-06	5.9604645e-08	9.222694	9.093852	0.010650794	58.695724	13.884797
7798	1.9210448	3.636256e-05	1.0948628e-05	17.345547	13.881491	0.003908847	72.41735	24.27769
27359	29.941675	2.6760623e-05	7.8231096e-07	47.60217	28.219673	0.021724338	259.01627	59.131462
2580	2.1153173	5.350448e-06	5.327165e-07	8.79279	8.827509	0.011551871	33.576107	13.566601
21528	22.19409	1.3014302e-05	3.943965e-05	18.961952	28.89913	0.009386325	217.23688	36.370968
